cell	family	n_obs	beta_t	out_dev	tau2	n_chunks
n128_b0.05_o20_t1	gaussian	128	0.05	20	1	1
n128_b0.05_o200_tnone	gaussian	128	0.05	200	none	1
n128_b0.05_o200_t1	gaussian	128	0.05	200	1	1
n128_b0.1_o0_tnone	gaussian	128	0.1	0	none	1
n128_b0.1_o0_t1	gaussian	128	0.1	0	1	1
n128_b0.1_o20_tnone	gaussian	128	0.1	20	none	1
n128_b0.1_o20_t1	gaussian	128	0.1	20	1	1
n128_b0.1_o200_tnone	gaussian	128	0.1	200	none	1
n128_b0.1_o200_t1	gaussian	128	0.1	200	1	1
n128_b0.2_o0_tnone	gaussian	128	0.2	0	none	1
n128_b0.2_o0_t1	gaussian	128	0.2	0	1	1
n128_b0.2_o20_tnone	gaussian	128	0.2	20	none	1
n128_b0.2_o20_t1	gaussian	128	0.2	20	1	1
n128_b0.2_o200_tnone	gaussian	128	0.2	200	none	1
n128_b0.2_o200_t1	gaussian	128	0.2	200	1	1
n128_b0.5_o0_tnone	gaussian	128	0.5	0	none	1
n128_b0.5_o0_t1	gaussian	128	0.5	0	1	1
n128_b0.5_o20_tnone	gaussian	128	0.5	20	none	1
n128_b0.5_o20_t1	gaussian	128	0.5	20	1	1
n128_b0.5_o200_tnone	gaussian	128	0.5	200	none	1
n128_b0.5_o200_t1	gaussian	128	0.5	200	1	1
n128_b1_o0_tnone	gaussian	128	1	0	none	1
n128_b1_o0_t1	gaussian	128	1	0	1	1
n128_b1_o20_tnone	gaussian	128	1	20	none	1
n128_b1_o20_t1	gaussian	128	1	20	1	1
n128_b1_o200_tnone	gaussian	128	1	200	none	1
n128_b1_o200_t1	gaussian	128	1	200	1	1
n256_b0_o0_tnone	gaussian	256	0	0	none	1
n256_b0_o0_t1	gaussian	256	0	0	1	1
n256_b0_o20_tnone	gaussian	256	0	20	none	1
n256_b0_o20_t1	gaussian	256	0	20	1	1
n256_b0_o200_tnone	gaussian	256	0	200	none	1
n256_b0_o200_t1	gaussian	256	0	200	1	1
n256_b0.05_o0_tnone	gaussian	256	0.05	0	none	1
n256_b0.05_o0_t1	gaussian	256	0.05	0	1	1
n256_b0.05_o20_tnone	gaussian	256	0.05	20	none	1
n256_b0.05_o20_t1	gaussian	256	0.05	20	1	1
n256_b0.05_o200_tnone	gaussian	256	0.05	200	none	1
n256_b0.05_o200_t1	gaussian	256	0.05	200	1	1
n256_b0.1_o0_tnone	gaussian	256	0.1	0	none	1
n256_b0.1_o0_t1	gaussian	256	0.1	0	1	1
n256_b0.1_o20_tnone	gaussian	256	0.1	20	none	1
n256_b0.1_o20_t1	gaussian	256	0.1	20	1	1
n256_b0.1_o200_tnone	gaussian	256	0.1	200	none	1
n256_b0.1_o200_t1	gaussian	256	0.1	200	1	1
n256_b0.2_o0_tnone	gaussian	256	0.2	0	none	1
n256_b0.2_o0_t1	gaussian	256	0.2	0	1	1
n256_b0.2_o20_tnone	gaussian	256	0.2	20	none	1
n256_b0.2_o20_t1	gaussian	256	0.2	20	1	1
n256_b0.2_o200_tnone	gaussian	256	0.2	200	none	1
n256_b0.2_o200_t1	gaussian	256	0.2	200	1	1
n256_b0.5_o0_tnone	gaussian	256	0.5	0	none	1
n256_b0.5_o0_t1	gaussian	256	0.5	0	1	1
n256_b0.5_o20_tnone	gaussian	256	0.5	20	none	1
n256_b0.5_o20_t1	gaussian	256	0.5	20	1	1
n256_b0.5_o200_tnone	gaussian	256	0.5	200	none	1
n256_b0.5_o200_t1	gaussian	256	0.5	200	1	1
n256_b1_o0_tnone	gaussian	256	1	0	none	1
n256_b1_o0_t1	gaussian	256	1	0	1	1
n256_b1_o20_tnone	gaussian	256	1	20	none	1
n256_b1_o20_t1	gaussian	256	1	20	1	1
n256_b1_o200_tnone	gaussian	256	1	200	none	1
n256_b1_o200_t1	gaussian	256	1	200	1	1
n512_b0_o0_tnone	gaussian	512	0	0	none	2
n512_b0_o0_t1	gaussian	512	0	0	1	2
n512_b0_o20_tnone	gaussian	512	0	20	none	2
n512_b0_o20_t1	gaussian	512	0	20	1	2
n512_b0_o200_tnone	gaussian	512	0	200	none	2
n512_b0_o200_t1	gaussian	512	0	200	1	2
n512_b0.05_o0_tnone	gaussian	512	0.05	0	none	2
n512_b0.05_o0_t1	gaussian	512	0.05	0	1	2
n512_b0.05_o20_tnone	gaussian	512	0.05	20	none	2
n512_b0.05_o20_t1	gaussian	512	0.05	20	1	2
n512_b0.05_o200_tnone	gaussian	512	0.05	200	none	2
n512_b0.05_o200_t1	gaussian	512	0.05	200	1	2
n512_b0.1_o0_tnone	gaussian	512	0.1	0	none	2
n512_b0.1_o0_t1	gaussian	512	0.1	0	1	2
n512_b0.1_o20_tnone	gaussian	512	0.1	20	none	2
n512_b0.1_o20_t1	gaussian	512	0.1	20	1	2
n512_b0.1_o200_tnone	gaussian	512	0.1	200	none	2
n512_b0.1_o200_t1	gaussian	512	0.1	200	1	2
n512_b0.2_o0_tnone	gaussian	512	0.2	0	none	2
n512_b0.2_o0_t1	gaussian	512	0.2	0	1	2
n512_b0.2_o20_tnone	gaussian	512	0.2	20	none	2
n512_b0.2_o20_t1	gaussian	512	0.2	20	1	2
n512_b0.2_o200_tnone	gaussian	512	0.2	200	none	2
n512_b0.2_o200_t1	gaussian	512	0.2	200	1	2
n512_b0.5_o0_tnone	gaussian	512	0.5	0	none	2
n512_b0.5_o0_t1	gaussian	512	0.5	0	1	2
n512_b0.5_o20_tnone	gaussian	512	0.5	20	none	2
n512_b0.5_o20_t1	gaussian	512	0.5	20	1	2
n512_b0.5_o200_tnone	gaussian	512	0.5	200	none	2
n512_b0.5_o200_t1	gaussian	512	0.5	200	1	2
n512_b1_o0_tnone	gaussian	512	1	0	none	2
n512_b1_o0_t1	gaussian	512	1	0	1	2
n512_b1_o20_tnone	gaussian	512	1	20	none	2
n512_b1_o20_t1	gaussian	512	1	20	1	2
n512_b1_o200_tnone	gaussian	512	1	200	none	2
n512_b1_o200_t1	gaussian	512	1	200	1	2
n1024_b0_o0_tnone	gaussian	1024	0	0	none	4
n1024_b0_o0_t1	gaussian	1024	0	0	1	4
n1024_b0_o20_tnone	gaussian	1024	0	20	none	4
n1024_b0_o20_t1	gaussian	1024	0	20	1	4
n1024_b0_o200_tnone	gaussian	1024	0	200	none	4
n1024_b0_o200_t1	gaussian	1024	0	200	1	4
n1024_b0.05_o0_tnone	gaussian	1024	0.05	0	none	4
n1024_b0.05_o0_t1	gaussian	1024	0.05	0	1	4
n1024_b0.05_o20_tnone	gaussian	1024	0.05	20	none	4
n1024_b0.05_o20_t1	gaussian	1024	0.05	20	1	4
n1024_b0.05_o200_tnone	gaussian	1024	0.05	200	none	4
n1024_b0.05_o200_t1	gaussian	1024	0.05	200	1	4
n1024_b0.1_o0_tnone	gaussian	1024	0.1	0	none	4
n1024_b0.1_o0_t1	gaussian	1024	0.1	0	1	4
n1024_b0.1_o20_tnone	gaussian	1024	0.1	20	none	4
n1024_b0.1_o20_t1	gaussian	1024	0.1	20	1	4
n1024_b0.1_o200_tnone	gaussian	1024	0.1	200	none	4
n1024_b0.1_o200_t1	gaussian	1024	0.1	200	1	4
n1024_b0.2_o0_tnone	gaussian	1024	0.2	0	none	4
n1024_b0.2_o0_t1	gaussian	1024	0.2	0	1	4
n1024_b0.2_o20_tnone	gaussian	1024	0.2	20	none	4
n1024_b0.2_o20_t1	gaussian	1024	0.2	20	1	4
n1024_b0.2_o200_tnone	gaussian	1024	0.2	200	none	4
n1024_b0.2_o200_t1	gaussian	1024	0.2	200	1	4
n1024_b0.5_o0_tnone	gaussian	1024	0.5	0	none	4
n1024_b0.5_o0_t1	gaussian	1024	0.5	0	1	4
n1024_b0.5_o20_tnone	gaussian	1024	0.5	20	none	4
n1024_b0.5_o20_t1	gaussian	1024	0.5	20	1	4
n1024_b0.5_o200_tnone	gaussian	1024	0.5	200	none	4
n1024_b0.5_o200_t1	gaussian	1024	0.5	200	1	4
n1024_b1_o0_tnone	gaussian	1024	1	0	none	4
n1024_b1_o0_t1	gaussian	1024	1	0	1	4
n1024_b1_o20_tnone	gaussian	1024	1	20	none	4
n1024_b1_o20_t1	gaussian	1024	1	20	1	4
n1024_b1_o200_tnone	gaussian	1024	1	200	none	4
n1024_b1_o200_t1	gaussian	1024	1	200	1	4
bin_n16_b0_o0_tnone	binomial	16	0	0	none	1
bin_n16_b0_o2_tnone	binomial	16	0	2	none	1
bin_n16_b0_o5_tnone	binomial	16	0	5	none	1
bin_n16_b0.05_o0_tnone	binomial	16	0.05	0	none	1
bin_n16_b0.05_o2_tnone	binomial	16	0.05	2	none	1
bin_n16_b0.05_o5_tnone	binomial	16	0.05	5	none	1
bin_n16_b0.1_o0_tnone	binomial	16	0.1	0	none	1
bin_n16_b0.1_o2_tnone	binomial	16	0.1	2	none	1
bin_n16_b0.1_o5_tnone	binomial	16	0.1	5	none	1
bin_n16_b0.2_o0_tnone	binomial	16	0.2	0	none	1
bin_n16_b0.2_o2_tnone	binomial	16	0.2	2	none	1
bin_n16_b0.2_o5_tnone	binomial	16	0.2	5	none	1
bin_n16_b0.5_o0_tnone	binomial	16	0.5	0	none	1
bin_n16_b0.5_o2_tnone	binomial	16	0.5	2	none	1
bin_n16_b0.5_o5_tnone	binomial	16	0.5	5	none	1
bin_n16_b1_o0_tnone	binomial	16	1	0	none	1
bin_n16_b1_o2_tnone	binomial	16	1	2	none	1
bin_n16_b1_o5_tnone	binomial	16	1	5	none	1
bin_n32_b0_o0_tnone	binomial	32	0	0	none	1
bin_n32_b0_o2_tnone	binomial	32	0	2	none	1
bin_n32_b0_o5_tnone	binomial	32	0	5	none	1
bin_n32_b0.05_o0_tnone	binomial	32	0.05	0	none	1
bin_n32_b0.05_o2_tnone	binomial	32	0.05	2	none	1
bin_n32_b0.05_o5_tnone	binomial	32	0.05	5	none	1
bin_n32_b0.1_o0_tnone	binomial	32	0.1	0	none	1
bin_n32_b0.1_o2_tnone	binomial	32	0.1	2	none	1
bin_n32_b0.1_o5_tnone	binomial	32	0.1	5	none	1
bin_n32_b0.2_o0_tnone	binomial	32	0.2	0	none	1
bin_n32_b0.2_o2_tnone	binomial	32	0.2	2	none	1
bin_n32_b0.2_o5_tnone	binomial	32	0.2	5	none	1
bin_n32_b0.5_o0_tnone	binomial	32	0.5	0	none	1
bin_n32_b0.5_o2_tnone	binomial	32	0.5	2	none	1
bin_n32_b0.5_o5_tnone	binomial	32	0.5	5	none	1
bin_n32_b1_o0_tnone	binomial	32	1	0	none	1
bin_n32_b1_o2_tnone	binomial	32	1	2	none	1
bin_n32_b1_o5_tnone	binomial	32	1	5	none	1
bin_n64_b0_o0_tnone	binomial	64	0	0	none	1
bin_n64_b0_o2_tnone	binomial	64	0	2	none	1
bin_n64_b0_o5_tnone	binomial	64	0	5	none	1
bin_n64_b0.05_o0_tnone	binomial	64	0.05	0	none	1
bin_n64_b0.05_o2_tnone	binomial	64	0.05	2	none	1
bin_n64_b0.05_o5_tnone	binomial	64	0.05	5	none	1
bin_n64_b0.1_o0_tnone	binomial	64	0.1	0	none	1
bin_n64_b0.1_o2_tnone	binomial	64	0.1	2	none	1
bin_n64_b0.1_o5_tnone	binomial	64	0.1	5	none	1
bin_n64_b0.2_o0_tnone	binomial	64	0.2	0	none	1
bin_n64_b0.2_o2_tnone	binomial	64	0.2	2	none	1
bin_n64_b0.2_o5_tnone	binomial	64	0.2	5	none	1
bin_n64_b0.5_o0_tnone	binomial	64	0.5	0	none	1
bin_n64_b0.5_o2_tnone	binomial	64	0.5	2	none	1
bin_n64_b0.5_o5_tnone	binomial	64	0.5	5	none	1
bin_n64_b1_o0_tnone	binomial	64	1	0	none	1
bin_n64_b1_o2_tnone	binomial	64	1	2	none	1
bin_n64_b1_o5_tnone	binomial	64	1	5	none	1
bin_n128_b0_o0_tnone	binomial	128	0	0	none	1
bin_n128_b0_o2_tnone	binomial	128	0	2	none	1
bin_n128_b0_o5_tnone	binomial	128	0	5	none	1
bin_n128_b0.05_o0_tnone	binomial	128	0.05	0	none	1
bin_n128_b0.05_o2_tnone	binomial	128	0.05	2	none	1
bin_n128_b0.05_o5_tnone	binomial	128	0.05	5	none	1
bin_n128_b0.1_o0_tnone	binomial	128	0.1	0	none	1
bin_n128_b0.1_o2_tnone	binomial	128	0.1	2	none	1
bin_n128_b0.1_o5_tnone	binomial	128	0.1	5	none	1
bin_n128_b0.2_o0_tnone	binomial	128	0.2	0	none	1
bin_n128_b0.2_o2_tnone	binomial	128	0.2	2	none	1
bin_n128_b0.2_o5_tnone	binomial	128	0.2	5	none	1
bin_n128_b0.5_o0_tnone	binomial	128	0.5	0	none	1
bin_n128_b0.5_o2_tnone	binomial	128	0.5	2	none	1
bin_n128_b0.5_o5_tnone	binomial	128	0.5	5	none	1
bin_n128_b1_o0_tnone	binomial	128	1	0	none	1
bin_n128_b1_o2_tnone	binomial	128	1	2	none	1
bin_n128_b1_o5_tnone	binomial	128	1	5	none	1
bin_n256_b0_o0_tnone	binomial	256	0	0	none	1
bin_n256_b0_o2_tnone	binomial	256	0	2	none	1
bin_n256_b0_o5_tnone	binomial	256	0	5	none	1
bin_n256_b0.05_o0_tnone	binomial	256	0.05	0	none	1
bin_n256_b0.05_o2_tnone	binomial	256	0.05	2	none	1
bin_n256_b0.05_o5_tnone	binomial	256	0.05	5	none	1
bin_n256_b0.1_o0_tnone	binomial	256	0.1	0	none	1
bin_n256_b0.1_o2_tnone	binomial	256	0.1	2	none	1
bin_n256_b0.1_o5_tnone	binomial	256	0.1	5	none	1
bin_n256_b0.2_o0_tnone	binomial	256	0.2	0	none	1
bin_n256_b0.2_o2_tnone	binomial	256	0.2	2	none	1
bin_n256_b0.2_o5_tnone	binomial	256	0.2	5	none	1
bin_n256_b0.5_o0_tnone	binomial	256	0.5	0	none	1
bin_n256_b0.5_o2_tnone	binomial	256	0.5	2	none	1
bin_n256_b0.5_o5_tnone	binomial	256	0.5	5	none	1
bin_n256_b1_o0_tnone	binomial	256	1	0	none	1
bin_n256_b1_o2_tnone	binomial	256	1	2	none	1
bin_n256_b1_o5_tnone	binomial	256	1	5	none	1
bin_n512_b0_o0_tnone	binomial	512	0	0	none	1
bin_n512_b0_o2_tnone	binomial	512	0	2	none	1
bin_n512_b0_o5_tnone	binomial	512	0	5	none	1
bin_n512_b0.05_o0_tnone	binomial	512	0.05	0	none	1
bin_n512_b0.05_o2_tnone	binomial	512	0.05	2	none	1
bin_n512_b0.05_o5_tnone	binomial	512	0.05	5	none	1
bin_n512_b0.1_o0_tnone	binomial	512	0.1	0	none	1
bin_n512_b0.1_o2_tnone	binomial	512	0.1	2	none	1
bin_n512_b0.1_o5_tnone	binomial	512	0.1	5	none	1
bin_n512_b0.2_o0_tnone	binomial	512	0.2	0	none	1
bin_n512_b0.2_o2_tnone	binomial	512	0.2	2	none	1
bin_n512_b0.2_o5_tnone	binomial	512	0.2	5	none	1
bin_n512_b0.5_o0_tnone	binomial	512	0.5	0	none	1
bin_n512_b0.5_o2_tnone	binomial	512	0.5	2	none	1
bin_n512_b0.5_o5_tnone	binomial	512	0.5	5	none	1
bin_n512_b1_o0_tnone	binomial	512	1	0	none	1
bin_n512_b1_o2_tnone	binomial	512	1	2	none	1
bin_n512_b1_o5_tnone	binomial	512	1	5	none	1
bin_n1024_b0_o0_tnone	binomial	1024	0	0	none	1
bin_n1024_b0_o2_tnone	binomial	1024	0	2	none	1
bin_n1024_b0_o5_tnone	binomial	1024	0	5	none	1
bin_n1024_b0.05_o0_tnone	binomial	1024	0.05	0	none	1
bin_n1024_b0.05_o2_tnone	binomial	1024	0.05	2	none	1
bin_n1024_b0.05_o5_tnone	binomial	1024	0.05	5	none	1
bin_n1024_b0.1_o0_tnone	binomial	1024	0.1	0	none	1
bin_n1024_b0.1_o2_tnone	binomial	1024	0.1	2	none	1
bin_n1024_b0.1_o5_tnone	binomial	1024	0.1	5	none	1
bin_n1024_b0.2_o0_tnone	binomial	1024	0.2	0	none	1
bin_n1024_b0.2_o2_tnone	binomial	1024	0.2	2	none	1
bin_n1024_b0.2_o5_tnone	binomial	1024	0.2	5	none	1
bin_n1024_b0.5_o0_tnone	binomial	1024	0.5	0	none	1
bin_n1024_b0.5_o2_tnone	binomial	1024	0.5	2	none	1
bin_n1024_b0.5_o5_tnone	binomial	1024	0.5	5	none	1
bin_n1024_b1_o0_tnone	binomial	1024	1	0	none	1
bin_n1024_b1_o2_tnone	binomial	1024	1	2	none	1
bin_n1024_b1_o5_tnone	binomial	1024	1	5	none	1
